#sudoku #steps  #time   #ticks
0 132    0    0
1 3    0    0
2 81    0    0
3 59    0    0
4 35    0    0
5 43    0    0
6 23    0    0
7 15    0    0
8 5    0    0
9 36    0    0
10 10    0    0
11 55    0    0
12 4    0    0
13 1    0    0
14 8    0    0
15 17    0    0
16 27    0    0
17 10    0    0
18 31    0    0
19 7    0    0
20 73    0    0
21 15    0    0
22 4    0    0
23 2    0    0
24 1    0    0
25 19    0    0
26 24    0    0
27 1    0    0
28 15    0    0
29 56    0    0
30 6    0    0
31 7    0    0
32 35    0    0
33 43    0    0
34 17    0    0
35 10    0    0
36 5    0    0
37 33    0    0
38 8    0    0
39 1    0    0
40 2    0    0
41 25    0    0
42 123    0    0
43 13    0    0
44 2    0    0
45 25    0    0
46 6    0    0
47 4    0    0
48 20    0    0
49 9    0    0
50 3    0    0
51 31    0    0
52 56    0    0
53 37    0    0
54 45    0    0
55 20    0    0
56 27    0    0
57 20    0    0
58 3    0    0
59 16    0    0
60 51    0    0
61 5    0    0
62 29    0    0
63 18    0    0
64 38    0    0
65 53    0    0
66 23    0    0
67 72    0    0
68 26    0    0
69 67    0    0
70 8    0    0
71 69    0    0
72 50    0    0
73 17    0    0
74 94    0    0
75 25    0    0
76 3    0    0
77 17    0    0
78 52    0    0
79 65    0    0
80 16    0    0
81 21    0    0
82 11    0    0
83 26    0    0
84 31    0    0
85 33    0    0
86 3    0    0
87 4    0    0
88 8    0    0
89 6    0    0
90 16    0    0
91 25    0    0
92 18    0    0
93 7    0    0
94 5    0    0
95 24    0    0
96 9    0    0
97 22    0    0
98 17    0    0
99 54    0    0
100 1    0    0
101 5    0    0
102 2    0    0
103 21    0    0
104 35    0    0
105 46    0    0
106 9    0    0
107 19    0    0
108 28    0    0
109 9    0    0
110 9    0    0
111 58    0    0
112 58    0    0
113 66    0    0
114 8    0    0
115 171    0    0
116 6    0    0
117 16    0    0
118 3    0    0
119 66    0    0
120 10    0    0
121 35    0    0
122 22    0    0
123 5    0    0
124 76    0    0
125 19    0    0
126 37    0    0
127 8    0    0
128 63    0    0
129 7    0    0
130 57    0    0
131 5    0    0
132 36    0    0
133 2    0    0
134 39    0    0
135 11    0    0
136 80    0    0
137 60    0    0
138 22    0    0
139 38    0    0
140 44    0    0
141 47    0    0
142 16    0    0
143 37    0    0
144 40    0    0
145 9    0    0
146 9    0    0
147 25    0    0
148 53    0    0
149 16    0    0
150 82    0    0
151 6    0    0
152 68    0    0
153 12    0    0
154 28    0    0
155 10    0    0
156 49    0    0
157 19    0    0
158 30    0    0
159 78    0    0
160 17    0    0
161 17    0    0
162 15    0    0
163 15    0    0
164 31    0    0
165 39    0    0
166 105    0    0
167 5    0    0
168 15    0    0
169 5    0    0
170 65    0    0
171 18    0    0
172 25    0    0
173 42    0    0
174 12    0    0
175 41    0    0
176 5    0    0
177 24    0    0
178 50    0    0
179 21    0    0
180 51    0    0
181 99    0    0
182 1    0    0
183 4    0    0
184 78    0    0
185 6    0    0
186 11    0    0
187 15    0    0
188 162    0    0
189 21    0    0
190 12    0    0
191 202    0    0
192 114    0    0
193 44    0    0
194 39    0    0
195 5    0    0
196 52    0    0
197 19    0    0
198 96    0    0
199 1    0    0
200 16    0    0
201 27    0    0
202 8    0    0
203 12    0    0
204 7    0    0
205 24    0    0
206 138    0    0
207 18    0    0
208 71    0    0
209 71    0    0
210 5    0    0
211 2    0    0
212 11    0    0
213 6    0    0
214 27    0    0
215 8    0    0
216 150    0    0
217 2    0    0
218 13    0    0
219 49    0    0
220 5    0    0
221 34    0    0
222 13    0    0
223 53    0    0
224 16    0    0
225 6    0    0
226 43    0    0
227 28    0    0
228 106    0    0
229 22    0    0
230 28    0    0
231 21    0    0
232 54    0    0
233 33    0    0
234 8    0    0
235 16    0    0
236 17    0    0
237 11    0    0
238 120    0    0
239 12    0    0
240 33    0    0
241 106    0    0
242 12    0    0
243 37    0    0
244 15    0    0
245 101    0    0
246 9    0    0
247 1    0    0
248 20    0    0
249 3    0    0
