#sudoku #steps  #time   #ticks
0 430    3    12839
1 157097    195    761357
2 1229    1    6829
3 7029    9    36413
4 8686    10    41303
5 395454    514    2004562
6 1423676    1754    6841332
7 1592    2    9036
8 100859    124    486609
9 10105358    13322    51947095
10 418    0    2748
11 196497    252    985162
12 792    1    5049
13 130280    174    679406
14 46167    69    272907
15 170    0    3264
16 106    0    2543
17 1997948    2538    9898499
18 4755    7    27767
19 15994    22    87025
20 8137    13    51997
21 7260    9    37441
22 22191    30    119540
23 5580    9    36856
24 3176535    4162    16229766
25 1662228    2132    8315797
26 69078    85    334061
27 745    1    4549
28 160476    201    786402
29 208277    275    1075693
30 660663    838    3270886
31 115879559    152556    594841666
32 169798    219    853915
33 883863    1152    4495123
34 13674    18    71349
35 343    0    2133
36 109380    134    525614
37 4122    5    23179
38 3762    5    19906
39 9047    12    47712
40 100859    126    492294
41 1447366    1892    7380533
42 495007    670    2615838
43 8684504    11437    44596207
44 358240    476    1858326
45 20402136    28499    111122442
46 2416576    3215    12536042
47 57657618    76818    299526444
48 6248156    7966    31060868
49 10646567    13964    54449584
